0,953,PT08.S1(CO)
0,858,PT08.S2(NMHC)
0,742,PT08.S3(NOx)
0,1544,PT08.S4(NO2)
0,780,PT08.S5(O3)
1,962,PT08.S1(CO)
1,880,PT08.S2(NMHC)
1,726,PT08.S3(NOx)
1,1484,PT08.S4(NO2)
1,1050,PT08.S5(O3)
2,1004,PT08.S1(CO)
2,921,PT08.S2(NMHC)
2,699,PT08.S3(NOx)
2,1495,PT08.S4(NO2)
2,1092,PT08.S5(O3)
3,1006,PT08.S1(CO)
3,845,PT08.S2(NMHC)
3,738,PT08.S3(NOx)
3,1430,PT08.S4(NO2)
3,978,PT08.S5(O3)
4,1194,PT08.S1(CO)
4,1255,PT08.S2(NMHC)
4,555,PT08.S3(NOx)
4,1694,PT08.S4(NO2)
4,1452,PT08.S5(O3)
5,921,PT08.S1(CO)
5,666,PT08.S2(NMHC)
5,954,PT08.S3(NOx)
5,1288,PT08.S4(NO2)
5,480,PT08.S5(O3)
6,888,PT08.S1(CO)
6,653,PT08.S2(NMHC)
6,973,PT08.S3(NOx)
6,1272,PT08.S4(NO2)
6,497,PT08.S5(O3)
7,-200,PT08.S1(CO)
7,-200,PT08.S2(NMHC)
7,-200,PT08.S3(NOx)
7,-200,PT08.S4(NO2)
7,-200,PT08.S5(O3)
8,980,PT08.S1(CO)
8,873,PT08.S2(NMHC)
8,1088,PT08.S3(NOx)
8,1258,PT08.S4(NO2)
8,949,PT08.S5(O3)
9,969,PT08.S1(CO)
9,787,PT08.S2(NMHC)
9,1035,PT08.S3(NOx)
9,1350,PT08.S4(NO2)
9,799,PT08.S5(O3)
10,968,PT08.S1(CO)
10,823,PT08.S2(NMHC)
10,952,PT08.S3(NOx)
10,1343,PT08.S4(NO2)
10,828,PT08.S5(O3)
11,1120,PT08.S1(CO)
11,900,PT08.S2(NMHC)
11,811,PT08.S3(NOx)
11,1462,PT08.S4(NO2)
11,1111,PT08.S5(O3)
12,934,PT08.S1(CO)
12,744,PT08.S2(NMHC)
12,970,PT08.S3(NOx)
12,1473,PT08.S4(NO2)
12,870,PT08.S5(O3)
13,891,PT08.S1(CO)
13,708,PT08.S2(NMHC)
13,1005,PT08.S3(NOx)
13,1382,PT08.S4(NO2)
13,823,PT08.S5(O3)
14,886,PT08.S1(CO)
14,627,PT08.S2(NMHC)
14,1082,PT08.S3(NOx)
14,1405,PT08.S4(NO2)
14,694,PT08.S5(O3)
15,911,PT08.S1(CO)
15,753,PT08.S2(NMHC)
15,934,PT08.S3(NOx)
15,1496,PT08.S4(NO2)
15,865,PT08.S5(O3)
16,834,PT08.S1(CO)
16,817,PT08.S2(NMHC)
16,1022,PT08.S3(NOx)
16,1408,PT08.S4(NO2)
16,774,PT08.S5(O3)
17,847,PT08.S1(CO)
17,694,PT08.S2(NMHC)
17,1153,PT08.S3(NOx)
17,1240,PT08.S4(NO2)
17,594,PT08.S5(O3)
18,973,PT08.S1(CO)
18,862,PT08.S2(NMHC)
18,850,PT08.S3(NOx)
18,1436,PT08.S4(NO2)
18,957,PT08.S5(O3)
19,882,PT08.S1(CO)
19,713,PT08.S2(NMHC)
19,978,PT08.S3(NOx)
19,1343,PT08.S4(NO2)
19,731,PT08.S5(O3)
20,891,PT08.S1(CO)
20,714,PT08.S2(NMHC)
20,957,PT08.S3(NOx)
20,1295,PT08.S4(NO2)
20,773,PT08.S5(O3)
21,930,PT08.S1(CO)
21,768,PT08.S2(NMHC)
21,916,PT08.S3(NOx)
21,1409,PT08.S4(NO2)
21,825,PT08.S5(O3)
22,1002,PT08.S1(CO)
22,854,PT08.S2(NMHC)
22,818,PT08.S3(NOx)
22,1513,PT08.S4(NO2)
22,779,PT08.S5(O3)
23,942,PT08.S1(CO)
23,780,PT08.S2(NMHC)
23,915,PT08.S3(NOx)
23,1419,PT08.S4(NO2)
23,737,PT08.S5(O3)
24,837,PT08.S1(CO)
24,693,PT08.S2(NMHC)
24,1096,PT08.S3(NOx)
24,1178,PT08.S4(NO2)
24,584,PT08.S5(O3)
25,1063,PT08.S1(CO)
25,1040,PT08.S2(NMHC)
25,739,PT08.S3(NOx)
25,1413,PT08.S4(NO2)
25,1166,PT08.S5(O3)
26,919,PT08.S1(CO)
26,802,PT08.S2(NMHC)
26,891,PT08.S3(NOx)
26,1265,PT08.S4(NO2)
26,940,PT08.S5(O3)
27,802,PT08.S1(CO)
27,680,PT08.S2(NMHC)
27,1091,PT08.S3(NOx)
27,1137,PT08.S4(NO2)
27,756,PT08.S5(O3)
28,872,PT08.S1(CO)
28,718,PT08.S2(NMHC)
28,981,PT08.S3(NOx)
28,1223,PT08.S4(NO2)
28,872,PT08.S5(O3)
29,939,PT08.S1(CO)
29,776,PT08.S2(NMHC)
29,879,PT08.S3(NOx)
29,1259,PT08.S4(NO2)
29,913,PT08.S5(O3)
30,1137,PT08.S1(CO)
30,967,PT08.S2(NMHC)
30,687,PT08.S3(NOx)
30,1557,PT08.S4(NO2)
30,1091,PT08.S5(O3)
31,1134,PT08.S1(CO)
31,914,PT08.S2(NMHC)
31,699,PT08.S3(NOx)
31,1512,PT08.S4(NO2)
31,1097,PT08.S5(O3)
32,1037,PT08.S1(CO)
32,836,PT08.S2(NMHC)
32,788,PT08.S3(NOx)
32,1467,PT08.S4(NO2)
32,904,PT08.S5(O3)
33,960,PT08.S1(CO)
33,772,PT08.S2(NMHC)
33,838,PT08.S3(NOx)
33,1431,PT08.S4(NO2)
33,852,PT08.S5(O3)
34,867,PT08.S1(CO)
34,693,PT08.S2(NMHC)
34,971,PT08.S3(NOx)
34,1335,PT08.S4(NO2)
34,825,PT08.S5(O3)
35,984,PT08.S1(CO)
35,780,PT08.S2(NMHC)
35,810,PT08.S3(NOx)
35,1377,PT08.S4(NO2)
35,910,PT08.S5(O3)
36,1002,PT08.S1(CO)
36,762,PT08.S2(NMHC)
36,814,PT08.S3(NOx)
36,1385,PT08.S4(NO2)
36,954,PT08.S5(O3)
37,1040,PT08.S1(CO)
37,836,PT08.S2(NMHC)
37,762,PT08.S3(NOx)
37,1423,PT08.S4(NO2)
37,974,PT08.S5(O3)
38,1158,PT08.S1(CO)
38,923,PT08.S2(NMHC)
38,673,PT08.S3(NOx)
38,1519,PT08.S4(NO2)
38,1072,PT08.S5(O3)
39,1203,PT08.S1(CO)
39,1046,PT08.S2(NMHC)
39,621,PT08.S3(NOx)
39,1664,PT08.S4(NO2)
39,1103,PT08.S5(O3)
40,1021,PT08.S1(CO)
40,811,PT08.S2(NMHC)
40,794,PT08.S3(NOx)
40,1502,PT08.S4(NO2)
40,837,PT08.S5(O3)
41,898,PT08.S1(CO)
41,742,PT08.S2(NMHC)
41,915,PT08.S3(NOx)
41,1345,PT08.S4(NO2)
41,796,PT08.S5(O3)
42,747,PT08.S1(CO)
42,543,PT08.S2(NMHC)
42,1276,PT08.S3(NOx)
42,1100,PT08.S4(NO2)
42,469,PT08.S5(O3)
43,786,PT08.S1(CO)
43,602,PT08.S2(NMHC)
43,1146,PT08.S3(NOx)
43,1123,PT08.S4(NO2)
43,584,PT08.S5(O3)
44,934,PT08.S1(CO)
44,730,PT08.S2(NMHC)
44,906,PT08.S3(NOx)
44,1345,PT08.S4(NO2)
44,757,PT08.S5(O3)
45,967,PT08.S1(CO)
45,785,PT08.S2(NMHC)
45,879,PT08.S3(NOx)
45,1326,PT08.S4(NO2)
45,766,PT08.S5(O3)
46,864,PT08.S1(CO)
46,633,PT08.S2(NMHC)
46,1097,PT08.S3(NOx)
46,1259,PT08.S4(NO2)
46,523,PT08.S5(O3)
47,856,PT08.S1(CO)
47,732,PT08.S2(NMHC)
47,988,PT08.S3(NOx)
47,1247,PT08.S4(NO2)
47,714,PT08.S5(O3)
48,1022,PT08.S1(CO)
48,898,PT08.S2(NMHC)
48,746,PT08.S3(NOx)
48,1414,PT08.S4(NO2)
48,955,PT08.S5(O3)
49,1103,PT08.S1(CO)
49,979,PT08.S2(NMHC)
49,666,PT08.S3(NOx)
49,1520,PT08.S4(NO2)
49,1156,PT08.S5(O3)
50,1289,PT08.S1(CO)
50,1161,PT08.S2(NMHC)
50,552,PT08.S3(NOx)
50,1765,PT08.S4(NO2)
50,1289,PT08.S5(O3)
51,1038,PT08.S1(CO)
51,895,PT08.S2(NMHC)
51,714,PT08.S3(NOx)
51,1474,PT08.S4(NO2)
51,999,PT08.S5(O3)
52,993,PT08.S1(CO)
52,813,PT08.S2(NMHC)
52,792,PT08.S3(NOx)
52,1413,PT08.S4(NO2)
52,946,PT08.S5(O3)
53,1165,PT08.S1(CO)
53,1042,PT08.S2(NMHC)
53,631,PT08.S3(NOx)
53,1621,PT08.S4(NO2)
53,1133,PT08.S5(O3)
54,1014,PT08.S1(CO)
54,864,PT08.S2(NMHC)
54,745,PT08.S3(NOx)
54,1474,PT08.S4(NO2)
54,1097,PT08.S5(O3)
55,989,PT08.S1(CO)
55,900,PT08.S2(NMHC)
55,737,PT08.S3(NOx)
55,1401,PT08.S4(NO2)
55,968,PT08.S5(O3)
56,998,PT08.S1(CO)
56,799,PT08.S2(NMHC)
56,786,PT08.S3(NOx)
56,1435,PT08.S4(NO2)
56,867,PT08.S5(O3)
57,904,PT08.S1(CO)
57,774,PT08.S2(NMHC)
57,878,PT08.S3(NOx)
57,1329,PT08.S4(NO2)
57,805,PT08.S5(O3)
58,879,PT08.S1(CO)
58,645,PT08.S2(NMHC)
58,1023,PT08.S3(NOx)
58,1288,PT08.S4(NO2)
58,612,PT08.S5(O3)
59,1023,PT08.S1(CO)
59,851,PT08.S2(NMHC)
59,782,PT08.S3(NOx)
59,1413,PT08.S4(NO2)
59,881,PT08.S5(O3)
60,972,PT08.S1(CO)
60,799,PT08.S2(NMHC)
60,833,PT08.S3(NOx)
60,1425,PT08.S4(NO2)
60,825,PT08.S5(O3)
